scenario,scenario_label,algorithm,algorithm_label,metric,metric_label,mean,ci95,n_seeds,n_processes,quantum,context_switch_cost,io_devices
priority_skew,Prioridades desbalanceadas,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),270.038602998,6.607354446068881,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,fcfs,FCFS,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),305.21697356,6.914814665258444,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,priority,Prioridade,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),146.171019314,1.321087127542454,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,rr,Round Robin,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),2255.250972017,57.289499818041996,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),505.404349409,9.05237616973768,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,fcfs,FCFS,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),304.680668922,6.840050511125643,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,priority,Prioridade,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),946.245043328,30.88265529575174,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,rr,Round Robin,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),2253.909913315,58.2180410586628,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,custom,Algoritmo proprio (Aging+Rajada Estimada),context_switches,Trocas de contexto,3000.866,2.724385986756509,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,fcfs,FCFS,context_switches,Trocas de contexto,3000.866,2.724385986756509,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,priority,Prioridade,context_switches,Trocas de contexto,3000.866,2.724385986756509,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,rr,Round Robin,context_switches,Trocas de contexto,9248.703,11.863920937612468,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,custom,Algoritmo proprio (Aging+Rajada Estimada),jain_slowdown,Indice de Jain do slowdown (%),37.996801667,0.3467241522889423,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,fcfs,FCFS,jain_slowdown,Indice de Jain do slowdown (%),42.880600296999994,0.3905553299523767,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,priority,Prioridade,jain_slowdown,Indice de Jain do slowdown (%),7.624096845,0.24475307456070847,1000,1000,4,1,1
priority_skew,Prioridades desbalanceadas,rr,Round Robin,jain_slowdown,Indice de Jain do slowdown (%),71.601540863,0.500257665700927,1000,1000,4,1,1
